Day Index,Pageviews,Avg. Time on Page,Bounce Rate,Unique Pageviews
11/24/15,"6,933",0:03:38,81.62%,"6,055"
11/25/15,"6,779",0:03:26,81.17%,"5,681"
11/26/15,"5,924",0:03:42,80.59%,"5,039"
11/27/15,"5,070",0:03:47,80.82%,"4,409"
11/28/15,"4,197",0:03:45,81.40%,"3,681"
11/29/15,"5,100",0:03:23,80.68%,"4,351"
11/30/15,"8,856",0:03:29,81.33%,"7,671"
12/1/15,"7,978",0:03:25,80.57%,"6,857"
12/2/15,"7,260",0:03:35,82.64%,"6,340"
12/3/15,"8,587",0:03:56,80.80%,"7,406"
12/4/15,"6,742",0:03:35,80.94%,"5,838"
12/5/15,"4,801",0:04:06,79.23%,"4,127"
12/6/15,"5,215",0:04:08,81.41%,"4,504"
12/7/15,"7,264",0:03:53,82.11%,"6,346"
12/8/15,"6,889",0:03:37,82.57%,"6,009"
12/9/15,"6,797",0:03:35,83.09%,"6,004"
12/10/15,"6,673",0:04:11,82.17%,"5,851"
12/11/15,"5,740",0:03:41,81.75%,"4,999"
12/12/15,"4,068",0:03:51,80.58%,"3,501"
12/13/15,"4,955",0:03:58,80.24%,"4,276"
12/14/15,"7,226",0:03:49,81.36%,"6,260"
12/15/15,"7,343",0:03:53,82.09%,"6,382"
12/16/15,"6,895",0:03:33,80.92%,"5,991"
12/17/15,"6,383",0:03:36,80.88%,"5,559"
12/18/15,"5,567",0:03:47,81.01%,"4,801"
12/19/15,"4,304",0:03:36,79.25%,"3,684"
12/20/15,"5,078",0:03:40,79.56%,"4,326"
12/21/15,"6,739",0:03:48,81.93%,"5,887"
12/22/15,"6,495",0:03:43,81.66%,"5,596"
12/23/15,"6,119",0:03:32,79.31%,"5,152"
12/24/15,"4,402",0:03:28,80.74%,"3,829"
12/25/15,"3,721",0:03:22,79.95%,"3,167"
12/26/15,"3,706",0:03:24,79.89%,"3,157"
12/27/15,"5,105",0:03:24,77.57%,"4,347"
12/28/15,"5,880",0:03:28,80.39%,"5,890"
12/29/15,"6,703",0:03:34,80.31%,"5,789"
12/30/15,"5,846",0:03:34,79.87%,"5,075"
12/31/15,"4,061",0:03:30,80.34%,"3,503"
1/1/16,"4,051",0:03:27,79.15%,"3,388"
1/2/16,"4,826",0:03:26,78.87%,"4,045"
1/3/16,"5,281",0:03:29,79.83%,"4,502"
1/4/16,"7,210",0:03:37,80.81%,"6,243"
1/5/16,"7,021",0:03:49,81.58%,"6,083"
1/6/16,"7,982",0:03:43,81.48%,"6,917"
1/7/16,"8,162",0:03:33,81.49%,"7,074"
1/8/16,"6,398",0:03:53,81.49%,"5,578"
1/9/16,"4,781",0:03:54,79.54%,"4,073"
1/10/16,"5,512",0:03:40,79.92%,"4,708"
1/11/16,"7,801",0:03:33,81.81%,"6,814"
1/12/16,"7,633",0:03:58,82.04%,"6,620"
1/13/16,"7,624",0:03:49,81.90%,"6,604"
1/14/16,"7,597",0:03:48,82.36%,"6,563"
1/15/16,"6,787",0:03:43,81.09%,"5,800"
1/16/16,"5,090",0:03:29,79.97%,"4,372"
1/17/16,"5,867",0:03:41,80.70%,"4,996"
1/18/16,"8,235",0:03:16,82.77%,"6,825"
1/19/16,"8,382",0:03:44,81.55%,"7,217"
1/20/16,"7,852",0:03:54,81.39%,"6,721"
1/21/16,"8,593",0:03:34,79.94%,"7,495"
1/22/16,"7,802",0:03:17,79.08%,"6,761"
1/23/16,"5,200",0:03:40,79.60%,"4,473"
1/24/16,"5,778",0:03:59,80.42%,"4,953"
1/25/16,"7,739",0:03:46,82.38%,"6,663"
1/26/16,"7,932",0:03:52,81.73%,"6,899"
1/27/16,"7,878",0:04:03,83.04%,"6,918"
1/28/16,"7,488",0:04:08,82.88%,"6,556"
1/29/16,"6,637",0:03:45,81.56%,"5,748"
1/30/16,"5,101",0:04:09,80.30%,"4,342"
1/31/16,"5,911",0:03:49,81.35%,"5,051"
2/1/16,"7,854",0:04:07,82.95%,"6,883"
2/2/16,"8,191",0:03:56,81.75%,"7,058"
2/3/16,"7,945",0:03:55,82.33%,"6,870"
2/4/16,"7,757",0:04:06,82.23%,"6,710"
2/5/16,"6,766",0:03:51,81.52%,"5,919"
2/6/16,"5,414",0:03:32,79.42%,"4,575"
2/7/16,"5,254",0:03:36,81.12%,"4,536"
2/8/16,"7,881",0:03:44,81.05%,"6,801"
2/9/16,"7,911",0:04:09,81.90%,"6,828"
2/10/16,"7,882",0:04:27,82.14%,"6,818"
2/11/16,"7,656",0:03:57,81.84%,"6,670"
2/12/16,"6,702",0:04:01,81.92%,"5,863"
2/13/16,"4,901",0:03:55,79.20%,"4,231"
2/14/16,"5,629",0:04:20,80.00%,"4,777"
2/15/16,"7,913",0:04:14,82.13%,"6,913"
2/16/16,"8,606",0:03:48,81.78%,"7,397"
2/17/16,"8,511",0:03:56,82.29%,"7,377"
2/18/16,"8,288",0:03:51,81.87%,"7,185"
2/19/16,"6,971",0:04:06,82.82%,"6,100"
2/20/16,"5,642",0:04:00,80.61%,"4,873"
2/21/16,"7,541",0:03:31,78.80%,"6,453"
2/22/16,"10,319",0:04:01,82.88%,"9,047"
2/23/16,"9,329",0:04:04,82.47%,"8,153"
2/24/16,"9,705",0:03:40,79.71%,"8,308"
2/25/16,"9,427",0:03:43,82.03%,"8,159"
2/26/16,"7,334",0:03:58,82.22%,"6,399"
2/27/16,"5,937",0:04:08,80.83%,"5,078"
2/28/16,"6,508",0:03:46,81.36%,"5,618"
2/29/16,"8,473",0:04:06,82.05%,"7,412"
3/1/16,"8,539",0:03:57,82.09%,"7,334"
3/2/16,"8,952",0:03:56,83.08%,"7,822"
3/3/16,"8,589",0:04:06,81.92%,"7,425"
3/4/16,"7,408",0:03:51,81.03%,"6,290"
3/5/16,"5,625",0:04:13,79.64%,"4,807"
3/6/16,"6,571",0:04:11,79.82%,"5,602"
3/7/16,"8,446",0:04:18,82.41%,"7,392"
3/8/16,"8,521",0:04:08,81.94%,"7,400"
3/9/16,"9,103",0:03:46,81.90%,"7,924"
3/10/16,"9,319",0:03:55,82.24%,"8,100"
3/11/16,"7,189",0:03:55,82.89%,"6,287"
3/12/16,"5,356",0:04:01,81.58%,"4,678"
3/13/16,"5,743",0:04:02,80.78%,"4,939"
3/14/16,"8,329",0:03:55,82.38%,"7,216"
3/15/16,"8,300",0:04:00,83.60%,"7,240"
3/16/16,"8,329",0:04:16,83.49%,"7,232"
3/17/16,"8,049",0:04:22,82.83%,"7,033"
3/18/16,"7,118",0:04:14,82.33%,"6,209"
3/19/16,"5,335",0:03:51,81.71%,"4,516"
3/20/16,"6,011",0:04:04,80.76%,"5,164"
3/21/16,"10,203",0:03:21,79.19%,"8,813"
3/22/16,"8,684",0:03:51,82.38%,"7,615"
3/23/16,"8,129",0:04:32,82.25%,"7,043"
3/24/16,"7,827",0:04:05,81.23%,"6,652"
3/25/16,"6,485",0:04:04,82.02%,"5,565"
3/26/16,"5,542",0:03:59,80.24%,"4,663"
3/27/16,"5,641",0:03:42,80.76%,"4,810"
3/28/16,"15,030",0:03:56,86.45%,"13,395"
3/29/16,"10,090",0:04:18,83.27%,"8,872"
3/30/16,"8,891",0:04:10,82.89%,"7,768"
3/31/16,"9,186",0:03:52,82.38%,"8,033"
4/1/16,"7,899",0:04:04,83.19%,"6,880"
4/2/16,"5,788",0:04:02,82.35%,"4,997"
4/3/16,"6,443",0:04:07,82.17%,"5,613"
4/4/16,"8,732",0:04:28,83.37%,"7,673"
4/5/16,"8,617",0:03:52,83.42%,"7,587"
4/6/16,"8,512",0:04:29,83.35%,"7,463"
4/7/16,"8,582",0:04:01,83.50%,"7,544"
4/8/16,"7,397",0:04:07,83.23%,"6,443"
4/9/16,"5,552",0:04:07,79.97%,"4,815"
4/10/16,"6,025",0:04:22,81.47%,"5,197"
4/11/16,"8,769",0:04:10,83.21%,"7,673"
4/12/16,"8,566",0:04:15,83.61%,"7,532"
4/13/16,"8,952",0:03:56,82.71%,"7,866"
4/14/16,"7,580",0:04:12,84.07%,"7,590"
4/15/16,"7,596",0:04:11,82.27%,"6,590"
4/16/16,"5,388",0:04:07,82.42%,"4,719"
4/17/16,"6,744",0:03:47,82.64%,"5,828"
4/18/16,"9,299",0:04:18,83.30%,"8,121"
4/19/16,"8,892",0:04:12,82.96%,"7,769"
4/20/16,"8,553",0:03:45,83.04%,"7,474"
4/21/16,"8,080",0:04:34,83.98%,"7,119"
4/22/16,"7,156",0:04:24,82.50%,"6,199"
4/23/16,"5,603",0:04:12,80.75%,"4,780"
4/24/16,"5,951",0:03:59,82.24%,"5,174"
4/25/16,"8,549",0:03:48,83.30%,"7,444"
4/26/16,"8,856",0:04:24,83.05%,"7,722"
4/27/16,"8,537",0:04:09,82.64%,"7,436"
4/28/16,"8,335",0:04:16,81.22%,"7,143"
4/29/16,"6,951",0:04:07,83.55%,"6,079"
4/30/16,"5,033",0:03:49,80.95%,"4,282"
5/1/16,"5,772",0:04:04,81.13%,"4,892"
5/2/16,"7,970",0:04:31,83.22%,"6,952"
5/3/16,"8,145",0:04:15,83.49%,"7,127"
5/4/16,"8,066",0:04:09,83.07%,"7,090"
5/5/16,"7,761",0:04:12,82.89%,"6,837"
5/6/16,"7,090",0:04:03,82.61%,"6,200"
5/7/16,"4,980",0:04:00,82.19%,"4,324"
5/8/16,"5,470",0:04:06,80.88%,"4,654"
